category_id,category_name,playlist_id,playlist_name
0JQ5DAqbMKFEZPnFQSFB1T,R&B,37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B
0JQ5DAqbMKFAUsdyVjCQuL,Love,37i9dQZF1DX8Zl33If947W,Liebeslieder
0JQ5DAqbMKFAUsdyVjCQuL,Love,37i9dQZF1DWZSeAwtQzvji,Sanfter Pop
0JQ5DAqbMKFAUsdyVjCQuL,Love,37i9dQZF1DXbrUpGvoi3TS,Broken Heart
0JQ5DAqbMKFAUsdyVjCQuL,Love,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0JQ5DAqbMKFAUsdyVjCQuL,Love,37i9dQZF1DXdl6IPOySdX4,goosebumps
0JQ5DAqbMKFFoimhOqWzLB,Kids & Family,37i9dQZF1DXecgCDnEPSBf,Kita Hits
0JQ5DAqbMKFFoimhOqWzLB,Kids & Family,37i9dQZF1DX7lk7hiGiH2z,Familienzeit: Frühling
0JQ5DAqbMKFFoimhOqWzLB,Kids & Family,37i9dQZF1DXb651y4Mmljv,Disney Hits Deutschland
0JQ5DAqbMKFFoimhOqWzLB,Kids & Family,37i9dQZF1DX12qgyzUprB6,Spielzeit
0JQ5DAqbMKFFoimhOqWzLB,Kids & Family,37i9dQZF1DXd1EjgVeNdvl,Gute Nacht
0JQ5DAqbMKFDkd668ypn6O,Metal,37i9dQZF1DWTcqUzwhNmKv,Kickass Metal
0JQ5DAqbMKFDkd668ypn6O,Metal,37i9dQZF1DX5J7FIl4q56G,All New Metal
0JQ5DAqbMKFDkd668ypn6O,Metal,37i9dQZF1DXdiUbJTV2anj,New Blood
0JQ5DAqbMKFDkd668ypn6O,Metal,37i9dQZF1DWXIcbzpLauPS,The Core
0JQ5DAqbMKFDkd668ypn6O,Metal,37i9dQZF1DWY5ai7gxfuaS,Alternative Metal
0JQ5DAqbMKFAJ5xb0fwo9m,Jazz,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0JQ5DAqbMKFAJ5xb0fwo9m,Jazz,37i9dQZF1DX4wta20PHgwo,Late Night Jazz
0JQ5DAqbMKFAJ5xb0fwo9m,Jazz,37i9dQZF1DWT4nLmUaFDGb,Easy Jazz
0JQ5DAqbMKFAJ5xb0fwo9m,Jazz,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0JQ5DAqbMKFAJ5xb0fwo9m,Jazz,37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition
0JQ5DAqbMKFQIL0AXnG5AK,Trending,37i9dQZF1DX36edUJpD76c,Modus Mio
0JQ5DAqbMKFQIL0AXnG5AK,Trending,37i9dQZF1DX1i11qSEWNoS,schiebt anders
0JQ5DAqbMKFQIL0AXnG5AK,Trending,37i9dQZF1DX0gbcr80GO9l,Viral Hits Deutschland
0JQ5DAqbMKFQIL0AXnG5AK,Trending,37i9dQZF1DWTBz12MDeCuX,me right now
0JQ5DAqbMKFQIL0AXnG5AK,Trending,37i9dQZF1DX5Vy6DFOcx00,big on the internet
0JQ5DAqbMKFPrEiAOxgac3,Classical,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0JQ5DAqbMKFPrEiAOxgac3,Classical,37i9dQZF1DWV0gynK7G6pD,Classical New Releases
0JQ5DAqbMKFPrEiAOxgac3,Classical,37i9dQZF1DWVFeEut75IAL,Calming Classical
0JQ5DAqbMKFPrEiAOxgac3,Classical,37i9dQZF1DWTi57LiHYTmH,Classical in the Background
0JQ5DAqbMKFPrEiAOxgac3,Classical,37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical
0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic,37i9dQZF1DXcgZcN2HVMoe,Morning Coffee
0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic,37i9dQZF1DX6tTW0xDxScH,Stay in Bed
0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic,37i9dQZF1DX6ziVCJnEm59,Your Favorite Coffeehouse
0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic,37i9dQZF1DWU0ScTcjJBdj,Relax & Unwind
0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic,37i9dQZF1DX17TxDoLeXxl,Mountain Air
0JQ5DAqbMKFKLfwjuJMoNC,Country,37i9dQZF1DX1lVhptIYRda,Hot Country
0JQ5DAqbMKFKLfwjuJMoNC,Country,37i9dQZF1DWZBCPUIUs2iR,Country's Greatest Hits
0JQ5DAqbMKFKLfwjuJMoNC,Country,37i9dQZF1DX7aUUBCKwo4Y,Country Top 50
0JQ5DAqbMKFKLfwjuJMoNC,Country,37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road
0JQ5DAqbMKFKLfwjuJMoNC,Country,37i9dQZF1DWVpjAJGB70vU,90s Country
0JQ5DAqbMKFIxnofjQmnmn,Disney,37i9dQZF1DXb651y4Mmljv,Disney Hits Deutschland
0JQ5DAqbMKFIxnofjQmnmn,Disney,37i9dQZF1DX2MZGwtqhL5S,Disney Lieder zum Einschlafen
0JQ5DAqbMKFIxnofjQmnmn,Disney,37i9dQZF1DXc0szVa6Tfog,Die Eiskönigin - Alle Lieder
0JQ5DAqbMKFIxnofjQmnmn,Disney,37i9dQZF1DWSwdDfrTTq40,Disney Prinzessinnen
0JQ5DAqbMKFIxnofjQmnmn,Disney,37i9dQZF1DWWP3xag2ARTK,Disney Junior Deutschland
0JQ5DAqbMKFIpEuaCnimBj,Soul,37i9dQZF1DXbcgQ8d7s0A0,Sweet Soul Chillout
0JQ5DAqbMKFIpEuaCnimBj,Soul,37i9dQZF1DX9XIFQuFvzM4,Feelin' Good
0JQ5DAqbMKFIpEuaCnimBj,Soul,37i9dQZF1DWULEW2RfoSCi,70s Soul Classics
0JQ5DAqbMKFIpEuaCnimBj,Soul,37i9dQZF1DWTx0xog3gN3q,Uplifting Soul Classics
0JQ5DAqbMKFIpEuaCnimBj,Soul,37i9dQZF1DX70TzPK5buVf,Funk Outta Here
0JQ5DAqbMKFCfObibaOZbv,Gaming,37i9dQZF1DWWY64wDtewQt,phonk
0JQ5DAqbMKFCfObibaOZbv,Gaming,37i9dQZF1DWUoAkqFHJmQZ,Game Zone
0JQ5DAqbMKFCfObibaOZbv,Gaming,37i9dQZF1DWTyiBJ6yEqeu,Top Gaming Tracks
0JQ5DAqbMKFCfObibaOZbv,Gaming,37i9dQZF1DWYN9NBqvY7Tx,Ultra Gaming
0JQ5DAqbMKFCfObibaOZbv,Gaming,37i9dQZF1DX3rXtgePifMs,EA SPORTS FC 24 Official Soundtrack
0JQ5DAqbMKFGnsSfvg90Wo,GLOW,37i9dQZF1DX3LyU0mhfqgP,GLOW
0JQ5DAqbMKFGnsSfvg90Wo,GLOW,37i9dQZF1DWViyN2b86Qnu,Transcend
0JQ5DAqbMKFGnsSfvg90Wo,GLOW,37i9dQZF1DWZREeDGwM6aE,Pioneers
0JQ5DAqbMKFGnsSfvg90Wo,GLOW,37i9dQZF1DWTMR78LDoAZC,Alternative Pride
0JQ5DAqbMKFGnsSfvg90Wo,GLOW,37i9dQZF1DX3iDTU5OeufK,Inventadísimas
0JQ5DAqbMKFOzQeOmemkuw,TV & Movies,37i9dQZF1DXbLzW15wHm9R,needle drop
0JQ5DAqbMKFOzQeOmemkuw,TV & Movies,37i9dQZF1DXb69UWhjrXsW,Hits From The Movies
