category_id,category_name,playlist_id,playlist_name,song_id,song_artist,song_title
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1z60FNfTtizk2N7VGtS1c2,Teven,Etage 4
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,16f4ZN6XOfrIO8fJkm28HM,"AYLIVA, Apache 207",Wunder
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,5TvAx4B21LtPUoP5t5upBI,Samra,Feuer über Deutschland
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,3pPMgoouYtezLiBTEeL9be,"FOURTY, Bausa",VEMPA
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6Is9gynDxpWAxDwC1AokLy,reezy,PRETTY LIL SHAWTY
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1kQKmatH0qVvnT05kJ0o4d,"Paula Hartmann, Symba",Uludağ und Sorgen
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6xLxMr7gbDdz7VWSx0IBt7,"Jazeek, Milano",Do you lie
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,0j4WzFni16kp0YquOHOwL8,Nina Chuba,NINA
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6I66iJvmOdL5vLhsaRyXqp,"Kianush, YAKARY, PA Sports",10 SEKUNDEN
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,7eBo7oeGFWJ9GlL1Me6NuV,Amo,Amo aller Amos
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,3sUYdis28691HssQFYUb0J,Nimo,Haram
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,2pXy4N9nMp5qkvna73rkBp,"BILLA JOE, Faroon",LIVE ON AIR
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,21qAuBs5OboGxmafgFtMBH,Dorian,Criminal
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,24WbDXns1gVnuagvId5TVO,San Andreas,Immer wenn du sagst
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6YearlKic5bdg3uSbZ6vwD,Miami Yacine,Outro 3000
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1KqYUtoOOq34KlgHhP1pSt,Florentina,Delulu
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,2gog6LA0qmtYnLOn9lJIil,"102 Boyz, Skoob102, Stacks102, Chapo102",Keine Ahnung
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,3E6v3MJCy4u0t9CcQe1wPy,Zensery,SCHERBEN
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,4l11vPYTqYrq9wjcO2pHDc,Bobby Vandamme,GOLF R FREESTYLE
